"ID","age","seq_id","seq_length","R","O","with_routine","year","age_scale","seq_length_scale","real_age"
"logan",21,"21_912",20,0.617376735810629,1,1,2021,2.72948368159855,0.321437437075194,0
"logan",22,"22_912",46,0.601509368417245,2,1,2022,2.92424711261736,0.739306105272947,0
"masada",5,"5_916",23,0.539196482961973,1,1,2012,-0.386731214702424,0.369653052636474,1
"masada",5,"5_920",24,0.405362225526867,2,1,2012,-0.386731214702424,0.385724924490233,1
"masada",6,"6_920",41,0.413011021252285,1,1,2013,-0.191967783683613,0.658946746004149,1
"masada",7,"7_926",34,0.315011689237377,1,1,2014,0.00279564733519832,0.546443643027831,1
"masada",7,"7_928",30,0.416848732062443,1,1,2014,0.00279564733519832,0.482156155612792,1
"methy",6,"6_931",30,0.374315922261714,3,1,2013,-0.191967783683613,0.482156155612792,1
"methy",6,"6_933",28,0.373608918652205,1,1,2013,-0.191967783683613,0.450012411905272,1
"methy",7,"7_933",19,0.546780762204512,2,1,2014,0.00279564733519832,0.305365565221435,1
"methy",7,"7_937",50,0.321013407940372,1,1,2014,0.00279564733519832,0.803593592687986,1
"methy",8,"8_950",106,0.354678508950873,1,1,2015,0.197559078354009,1.70361841649853,1
"methy",9,"9_961",43,0.440589290750078,1,1,2016,0.39232250937282,0.691090489711668,1
"methy",11,"11_989",130,0.446894197749792,2,1,2018,0.781849371410442,2.08934334098876,1
"methy",12,"12_998",104,0.335995152259128,0,1,2019,0.976612802429253,1.67147467279101,1
"nekarot",6,"6_1004",92,0.38308780760216,0,1,2013,-0.191967783683613,1.47861221054589,1
"nekarot",7,"7_1010",14,0.426973773215333,1,1,2014,0.00279564733519832,0.225006205952636,1
"nekarot",7,"7_1013",40,0.409044545205953,1,1,2014,0.00279564733519832,0.642874874150389,1
"nekarot",7,"7_1018",30,0.305818777879843,0,1,2014,0.00279564733519832,0.482156155612792,1
"nekarot",8,"8_1023",103,0.334802513698895,1,1,2015,0.197559078354009,1.65540280093725,1
"nekarot",8,"8_1024",32,0.300291906564457,1,1,2015,0.197559078354009,0.514299899320311,1
"nekarot",9,"9_1024",99,0.330672970712147,1,1,2016,0.39232250937282,1.59111531352221,1
"nekarot",10,"10_1032",32,0.346324213350067,1,1,2017,0.587085940391631,0.514299899320311,1
"nekarot",11,"11_1037",51,0.803220057317248,1,1,2018,0.781849371410442,0.819665464541746,1
"nekarot",12,"12_1050",67,0.424335285480679,1,1,2019,0.976612802429253,1.0768154142019,1
"nekarot",13,"13_1054",44,0.291460486610317,1,1,2020,1.17137623344806,0.707162361565428,1
"nekarot",13,"13_1055",36,0.378888972855991,1,1,2020,1.17137623344806,0.57858738673535,1
"nekarot",13,"13_1056",50,0.367075550603977,1,1,2020,1.17137623344806,0.803593592687986,1
"nekarot",14,"14_1056",133,0.274568656393133,1,1,2021,1.36613966446687,2.13755895655004,1
"neufneuf",1,"1_1063",128,0.487533800199612,1,1,2022,-1.16578493877767,2.05719959728124,1
"nevada",7,"7_1074",47,0.546121239087375,1,1,2016,0.00279564733519832,0.755377977126707,1
"nevada",8,"8_1093",48,0.285216371494446,1,1,2017,0.197559078354009,0.771449848980467,1
"nevada",11,"11_1094",27,0.583823475435793,1,1,2020,0.781849371410442,0.433940540051513,1
"nevada",12,"12_1094",122,0.555672918510084,2,1,2021,0.976612802429253,1.96076836615869,1
"nevada",13,"13_1094",64,0.460373059815467,1,1,2022,1.17137623344806,1.02859979864062,1
"nico",15,"15_1098",49,0.415310060795457,1,1,2019,1.56090309548569,0.787521720834226,1
"nico",16,"16_1098",74,0.439304839883744,1,1,2020,1.7556665265045,1.18931851717822,1
"nico",17,"17_1100",72,0.398329803142238,1,1,2021,1.95042995752331,1.1571747734707,1
"nico",18,"18_1102",100,0.59732623954572,1,1,2022,2.14519338854212,1.60718718537597,1
"nimrod",5,"5_1104",21,0.680107483119104,1,1,2009,-0.386731214702424,0.337509308928954,1
"nimrod",6,"6_1104",18,0.390467232828779,1,1,2010,-0.191967783683613,0.289293693367675,1
"nitika",8,"8_1105",109,0.379054756740592,2,1,2021,0.197559078354009,1.75183403205981,1
"nitika",9,"9_1105",36,0.441888829655375,1,1,2022,0.39232250937282,0.57858738673535,1
"nitika",9,"9_1106",60,0.551091196615189,2,1,2022,0.39232250937282,0.964312311225583,1
"noa",16,"16_1107",34,0.3073015800458,1,1,2020,1.7556665265045,0.546443643027831,1
"noa",17,"17_1107",128,0.620540493854907,1,1,2021,1.95042995752331,2.05719959728124,1
"noa",18,"18_1107",80,0.489634932466984,1,1,2022,2.14519338854212,1.28574974830078,1
"pamela",5,"5_1117",63,0.158511806419324,0,1,2012,-0.386731214702424,1.01252792678686,1
"pamela",5,"5_1118",39,0.306088491544521,2,1,2012,-0.386731214702424,0.626803002296629,1
"pamela",6,"6_1125",110,0.486625812681728,1,1,2013,-0.191967783683613,1.76790590391357,1
"pamela",7,"7_1131",53,0.485250662218664,1,1,2014,0.00279564733519832,0.851809208249265,1
"pamela",7,"7_1132",89,0.444588653364168,1,1,2014,0.00279564733519832,1.43039659498462,1
"pamela",8,"8_1135",139,0.542705063313226,1,1,2015,0.197559078354009,2.2339901876726,1
"pamela",14,"14_1137",25,0.394999649749656,1,1,2021,1.36613966446687,0.401796796343993,1
"pamela",15,"15_1138",94,0.372361494284624,1,1,2022,1.56090309548569,1.51075595425341,1
"pfeiffer",3,"3_1142",41,0.183302491586416,0,1,2015,-0.776258076740045,0.658946746004149,1
"phili",2,"2_1146",79,0.471107880534395,1,1,2021,-0.971021507758856,1.26967787644702,1
"phili",3,"3_1148",55,0.43205948740271,1,1,2022,-0.776258076740045,0.883952951956785,1
"pindus",0,"0_1149",23,0.159948051832395,0,1,2021,-1.36054836979648,0.369653052636474,1
"pindus",0,"0_1151",14,0.801040902677209,2,1,2021,-1.36054836979648,0.225006205952636,1
"pindus",1,"1_1152",97,0.299436039145613,1,1,2022,-1.16578493877767,1.55897156981469,1
"pinter",1,"1_1156",138,0.376577797143447,1,1,2021,-1.16578493877767,2.21791831581884,1
"pinter",2,"2_1158",113,0.40543220138375,1,1,2022,-0.971021507758856,1.81612151947485,1
"plettenberg",21,"21_1160",25,0.335651484468153,1,1,2021,2.72948368159855,0.401796796343993,0
"plettenberg",22,"22_1161",137,0.472404380830588,1,1,2022,2.92424711261736,2.20184644396508,0
"rehovot",1,"1_1164",31,0.400242304376671,1,1,2014,-1.16578493877767,0.498228027466551,1
"rehovot",1,"1_1165",57,0.333911304780478,1,1,2014,-1.16578493877767,0.916096695664304,1
"rehovot",1,"1_1170",21,0.360398965461566,1,1,2014,-1.16578493877767,0.337509308928954,1
"rehovot",2,"2_1170",40,0.45743159242308,1,1,2015,-0.971021507758856,0.642874874150389,1
"rehovot",2,"2_1171",69,0.334220925769247,1,1,2015,-0.971021507758856,1.10895915790942,1
"rehovot",2,"2_1172",17,0.583803837008612,1,1,2015,-0.971021507758856,0.273221821513915,1
"rehovot",3,"3_1174",30,0.574374269643865,2,1,2016,-0.776258076740045,0.482156155612792,1
"rehovot",3,"3_1175",45,0.785332904780765,1,1,2016,-0.776258076740045,0.723234233419188,1
"rehovot",4,"4_1191",79,0.466331354689322,1,1,2017,-0.581494645721234,1.26967787644702,1
"root",6,"6_1268",24,0.427499260178872,1,1,2021,-0.191967783683613,0.385724924490233,1
"root",7,"7_1268",62,0.460980705747357,1,1,2022,0.00279564733519832,0.996456054933103,1
"sabath",5,"5_1269",131,0.410731099128471,1,1,2017,-0.386731214702424,2.10541521284252,1
"sabath",6,"6_1269",51,0.288348059895084,0,1,2018,-0.191967783683613,0.819665464541746,1
"sabath",6,"6_1270",107,0.498094735689142,1,1,2018,-0.191967783683613,1.71969028835229,1
"sabath",7,"7_1271",144,0.453872200351112,1,1,2019,0.00279564733519832,2.3143495469414,1
"sabath",8,"8_1276",94,0.326326888301925,1,1,2020,0.197559078354009,1.51075595425341,1
"scout",13,"13_1341",25,0.357501797019894,1,1,2019,1.17137623344806,0.401796796343993,1
"scout",14,"14_1346",58,0.525146876684159,1,1,2020,1.36613966446687,0.932168567518064,1
"scout",14,"14_1347",22,0.421736114574127,2,1,2020,1.36613966446687,0.353581180782714,1
"scout",15,"15_1352",149,0.360635998277509,1,1,2021,1.56090309548569,2.3947089062102,1
"scout",16,"16_1356",88,0.275672833734128,1,1,2022,1.7556665265045,1.41432472313086,1
"shiva",4,"4_1362",64,0.459678962197882,1,1,2022,-0.581494645721234,1.02859979864062,1
"shkhara",8,"8_1364",179,0.272229945041614,0,1,2010,0.197559078354009,2.87686506182299,1
"simcha",7,"7_1368",72,0.498676123337305,2,1,2022,0.00279564733519832,1.1571747734707,1
"skala",1,"1_1371",128,0.435033953407459,1,1,2022,-1.16578493877767,2.05719959728124,1
